date,actual,mean,naive,seasonal_naive_daily,seasonal_naive_weekly,drift,sarimax,sarima_targetonly,feature_model,feature_model_conditional,foundation_chronos2,foundation_chronos2_cov
2016-05-13 19:00:00,208.33333333333334,97.46163394267658,348.3333333333333,123.33333333333333,126.66666666666667,348.432667343944,201.53990839414521,202.10432426422787,206.86915588378906,217.98126220703125,150.34402465820312,143.54006958007812
2016-05-13 20:00:00,120.0,97.46163394267658,348.3333333333333,100.0,116.66666666666667,348.53200135455467,179.35226026351555,179.9885832401299,220.61795043945312,222.1626434326172,111.23374938964844,103.1141357421875
2016-05-13 21:00:00,63.333333333333336,97.46163394267658,348.3333333333333,71.66666666666667,71.66666666666667,348.63133536516534,125.3816653978621,122.03968702208792,203.47442626953125,205.43772888183594,76.87728881835938,69.39966583251953
2016-05-13 22:00:00,55.0,97.46163394267658,348.3333333333333,60.0,53.333333333333336,348.730669375776,99.88356548856183,95.7376565098765,118.81128692626953,130.15235900878906,62.43732452392578,58.89021301269531
2016-05-13 23:00:00,61.666666666666664,97.46163394267658,348.3333333333333,56.666666666666664,58.333333333333336,348.8300033863867,83.7765460888197,79.35791625509279,103.50565338134766,93.06975555419922,56.76654815673828,54.777259826660156
2016-05-14 00:00:00,58.333333333333336,97.46163394267658,348.3333333333333,55.0,51.666666666666664,348.92933739699737,80.39528297266486,70.44560730162087,75.2646713256836,71.82433319091797,54.871185302734375,52.785133361816406
2016-05-14 01:00:00,63.333333333333336,97.46163394267658,348.3333333333333,53.333333333333336,56.666666666666664,349.02867140760804,74.48129081081008,65.61538877432454,74.73145294189453,77.33978271484375,54.2609748840332,52.8481330871582
2016-05-14 02:00:00,60.0,97.46163394267658,348.3333333333333,58.333333333333336,53.333333333333336,349.1280054182187,69.95585912780588,61.63632034559367,65.45633697509766,69.8687515258789,53.62415313720703,51.06383514404297
2016-05-14 03:00:00,60.0,97.46163394267658,348.3333333333333,58.333333333333336,55.0,349.2273394288294,67.04037237475468,58.20192924344883,57.47212219238281,68.08718872070312,53.55205535888672,51.50294494628906
2016-05-14 04:00:00,60.0,97.46163394267658,348.3333333333333,50.0,55.0,349.32667343944007,67.02436214484516,56.41303835049908,50.92788314819336,69.33741760253906,52.377376556396484,51.51057815551758
